,time,latitude,longitude,platform
2467,2023-04-02 08:54:53,-37.82033333333333,17.873833333333334,WGSV3-052
2466,2023-04-02 09:09:53,-37.824,17.87183333333333,WGSV3-052
2465,2023-04-02 09:24:53,-37.82783333333334,17.869833333333336,WGSV3-052
2464,2023-04-02 09:39:53,-37.83183333333333,17.867666666666665,WGSV3-052
2463,2023-04-02 09:54:53,-37.8305,17.868499999999997,WGSV3-052
2462,2023-04-02 10:23:58,-37.821333333333335,17.873333333333335,WGSV3-052
2461,2023-04-02 10:38:58,-37.8195,17.874166666666667,WGSV3-052
2460,2023-04-02 10:53:58,-37.823499999999996,17.872166666666665,WGSV3-052
2459,2023-04-02 11:08:58,-37.8275,17.87,WGSV3-052
2458,2023-04-02 11:23:58,-37.83166666666667,17.867833333333333,WGSV3-052
2457,2023-04-02 11:38:58,-37.83083333333333,17.868333333333332,WGSV3-052
2456,2023-04-02 11:53:58,-37.82666666666667,17.87066666666667,WGSV3-052
2455,2023-04-02 12:08:58,-37.82233333333333,17.872833333333332,WGSV3-052
2454,2023-04-02 12:23:58,-37.818333333333335,17.874833333333335,WGSV3-052
2453,2023-04-02 12:38:58,-37.82116666666666,17.8735,WGSV3-052
2452,2023-04-02 12:53:58,-37.82383333333333,17.872,WGSV3-052
2451,2023-04-02 13:08:58,-37.8265,17.87066666666667,WGSV3-052
2450,2023-04-02 13:23:58,-37.829166666666666,17.86916666666667,WGSV3-052
2449,2023-04-02 13:38:59,-37.832166666666666,17.868333333333332,WGSV3-052
2448,2023-04-02 13:53:59,-37.83566666666666,17.868499999999997,WGSV3-052
2447,2023-04-02 14:08:59,-37.839000000000006,17.869000000000003,WGSV3-052
2446,2023-04-02 14:38:04,-37.846333333333334,17.8725,WGSV3-052
2445,2023-04-02 14:53:04,-37.850166666666674,17.874166666666667,WGSV3-052
2444,2023-04-02 15:08:04,-37.85433333333334,17.875999999999998,WGSV3-052
2443,2023-04-02 15:23:04,-37.85816666666666,17.877833333333335,WGSV3-052
